"Month","corr_SH_Hang_Seng","corr_SH_Nikkei","corr_SH_KOSPI","corr_SH_STI","corr_SH_SP500"
"2003-01",0.473807621672009,0.253951656733675,0.303313217130826,0.369486804194494,0.120368857606626
"2003-02",0.415004780038264,0.21447459678747,0.245187476410075,0.342101491975347,0.0878925422754187
"2003-03",0.402509507686691,0.227826135251638,0.210353119860407,0.30902891401427,0.0875763509981008
"2003-04",0.269005972281117,0.171265291615847,0.163600628325661,0.18497502431627,0.0703693499401265
"2003-05",0.247918478752454,0.119658024375262,0.191135097223095,0.192633463779054,0.113358207257205
"2003-06",0.265743355902978,0.127407195599523,0.192126525635958,0.175861222998685,0.134197908682855
"2003-07",0.279681188435613,0.148417510032732,0.199423789836079,0.180689141901278,0.145662058350121
"2003-08",0.271315688135709,0.129120901307157,0.1778682959046,0.152688707272107,0.106332654843649
"2003-09",0.277701816050373,0.194734741896524,0.20926750242686,0.146816587993121,0.144587218610999
"2003-10",0.322788783324587,0.22161519854911,0.25173804212349,0.169715396741048,0.0872041382636942
"2003-11",0.348616856850026,0.226764877830892,0.228003490002942,0.223343079568921,0.0486935561676626
"2003-12",0.359724573840709,0.254096783484361,0.203005555426779,0.225636262017484,0.104028966172253
"2004-01",0.416360330086453,0.244775362884903,0.199657154116698,0.309000001727139,0.126163224256885
"2004-02",0.37362338388707,0.175736926239505,0.171852730664577,0.296622330905668,0.111389466303811
"2004-03",0.36290033061991,0.168843635707163,0.170504966417639,0.283477505327424,0.058542555155839
"2004-04",0.33396135664733,0.166191479121882,0.162445481761597,0.274699805047219,0.0607249754877434
"2004-05",0.37605768879409,0.274840691832605,0.267550911015289,0.346037792702506,0.134899550062019
"2004-06",0.390968918932329,0.285933247891526,0.310807801232594,0.350453625487705,0.127362831019685
"2004-07",0.351100499521028,0.21832692681305,0.249692258088215,0.320231140322602,0.0718137903089657
"2004-08",0.310031904384621,0.172843019457279,0.214427376240808,0.254323683987025,0.0756484167820974
"2004-09",0.270170622715002,0.109797335691987,0.14115947445933,0.214909108481033,0.0859944769023249
"2004-10",0.269467434311927,0.147085725671303,0.187954894520686,0.234733471410011,0.111401999406076
"2004-11",0.287231236300787,0.177703038284882,0.203530449783542,0.237402190944508,0.110148793494485
"2004-12",0.268075534342287,0.161398134839169,0.191909382340026,0.180921610734473,0.104475642403993
"2005-01",0.232743612255375,0.129359472225752,0.217369695702337,0.127246550043658,0.140181722217422
"2005-02",0.188940432982527,0.129736998813702,0.188819214159648,0.119683796107994,0.0821966702528255
"2005-03",0.25432212854322,0.138885222940313,0.195468623817917,0.122856432360474,0.065489565034625
"2005-04",0.317852050927578,0.224028619892782,0.266440996292402,0.187119015449538,0.0406043128881212
"2005-05",0.309324904331289,0.216135400891117,0.2247407525674,0.168501846451565,-0.0409722272738555
"2005-06",0.307386362947726,0.172826231728996,0.19171946144259,0.104520527445568,-0.0461662038802085
